id,explain/emotion,true/false,showing picture or not,user answer,user response,response time
f0a1bd56-d634-4143-a42e-f74b2e2efc2e,Explain,FALSE,FALSE,FALSE,prob,35.51
f0a1bd56-d634-4143-a42e-f74b2e2efc2e,Explain,TRUE,TRUE,FALSE,prob,84.56
f0a1bd56-d634-4143-a42e-f74b2e2efc2e,Explain,FALSE,TRUE,FALSE,not really,95.62
f0a1bd56-d634-4143-a42e-f74b2e2efc2e,Explain,TRUE,TRUE,TRUE,yes,104.8
f0a1bd56-d634-4143-a42e-f74b2e2efc2e,Explain,FALSE,TRUE,TRUE,likely yes,113.93
f0a1bd56-d634-4143-a42e-f74b2e2efc2e,Explain,FALSE,TRUE,FALSE,no probably,127.87
f0a1bd56-d634-4143-a42e-f74b2e2efc2e,Explain,FALSE,TRUE,TRUE,yeah,138.03
f0a1bd56-d634-4143-a42e-f74b2e2efc2e,Explain,FALSE,FALSE,FALSE,no probably,165.81
f0a1bd56-d634-4143-a42e-f74b2e2efc2e,Explain,TRUE,TRUE,FALSE,I do not think so hmm,182.68
f0a1bd56-d634-4143-a42e-f74b2e2efc2e,Explain,FALSE,FALSE,TRUE,yeah,192.79
f0a1bd56-d634-4143-a42e-f74b2e2efc2e,Explain,TRUE,FALSE,TRUE,yeah likely,202.2
f0a1bd56-d634-4143-a42e-f74b2e2efc2e,Explain,TRUE,FALSE,FALSE,unicorn exists?,215.08
f0a1bd56-d634-4143-a42e-f74b2e2efc2e,Explain,TRUE,TRUE,FALSE,butterfly?,228.28
f0a1bd56-d634-4143-a42e-f74b2e2efc2e,Explain,TRUE,FALSE,TRUE,yea,235.63
f0a1bd56-d634-4143-a42e-f74b2e2efc2e,Explain,FALSE,FALSE,TRUE,yeah likely,252.4
f0a1bd56-d634-4143-a42e-f74b2e2efc2e,Explain,TRUE,FALSE,FALSE,probably,24.87
ad7413b0-cc24-40e4-bf8f-98d6ac43474c,Explain,TRUE,TRUE,TRUE,Bonnet is kool hat 👍,109.47
ad7413b0-cc24-40e4-bf8f-98d6ac43474c,Explain,FALSE,FALSE,TRUE,I see sparrows everywhere,148.77
ad7413b0-cc24-40e4-bf8f-98d6ac43474c,Explain,FALSE,FALSE,FALSE,"No, them kids vape now",195.5
ad7413b0-cc24-40e4-bf8f-98d6ac43474c,Explain,TRUE,FALSE,TRUE,Idk but I hope so,210.2
ad7413b0-cc24-40e4-bf8f-98d6ac43474c,Explain,TRUE,FALSE,TRUE,SCOTSLAAAAAAAND,227.36
ad7413b0-cc24-40e4-bf8f-98d6ac43474c,Explain,TRUE,TRUE,FALSE,gimme a cuppa sergeant,256.91
ad7413b0-cc24-40e4-bf8f-98d6ac43474c,Explain,FALSE,FALSE,FALSE,I know people from yunnan,306.31
